ML Model Name,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.8262427227944469,0.907139122390701,0.8277886497064579,0.7996219281663516,0.8134615384615385,0.6512791005095026
Decision Tree,0.7944469323779668,0.793339902666613,0.7893719806763285,0.7722117202268431,0.780697563306259,0.5874410918963859
KNN,0.8172861621137483,0.8795692394320878,0.8198818897637795,0.7873345935727788,0.8032786885245902,0.6332931772901904
Naive Bayes,0.7201074787281684,0.8041632144149942,0.783748361730013,0.5652173913043478,0.656781987918726,0.4472156739535996
Random Forest,0.8620689655172413,0.9192732172304229,0.8301056338028169,0.8913043478260869,0.8596171376481313,0.7261611099235248
